title,url,stage,day,time,lfm_id
Bumbling Loons,https://soundcloud.com/dicktrevor/bumbling-loons-shimmer-sample,GLADE LOUNGE,SATURDAY,21:00 - 22:00,1226563
Burt Bacharach,http://bacharachonline.com/,PYRAMID STAGE,SATURDAY,16:30 - 17:30,1004477
Buttoned Down Disco,http://www.buttoneddowndisco.com/,WILLIAM'S GREEN,SUNDAY,23:00 - 02:30,12950298
Buzzcocks,http://www.buzzcocks.com/site/index.html,LEFT FIELD,SUNDAY,21:00 - 22:00,1001516
Cal Jader,http://HTTP://WWW.MOVIMIENTOS.ORG.UK/,HMS SWEET CHARITY,SUNDAY,23:30 - 00:00,23200358
Calico Jack,http://www.calicojacksboat.co.uk/,SMALL WORLD STAGE,FRIDAY,20:15 - 21:15,10167157
Cam Scott,,ANCIENT FUTURES,FRIDAY,14:00 - 15:30,16026116
Captain Cactus,,AVALON CAFÉ STAGE,SATURDAY,13:30 - 14:15,101336467
Cara Dillon,http://www.caradillon.co.uk/,AVALON STAGE,FRIDAY,17:15 - 18:15,1053287
Caribou,http://www.caribou.fm/,WEST HOLTS,FRIDAY,20:30 - 21:30,6917178
Carnival Collective,http://www.carnivalcollective.org,SMALL WORLD STAGE,SATURDAY,12:45 - 01:45,6849085
Carousels and Limousines,http://www.carouselsandlimousines.co.uk,AVALON CAFÉ STAGE,FRIDAY,13:30 - 14:15,83906321
Caspa,https://soundcloud.com/caspaofficial,THE CAVE,SATURDAY,03:00 - 04:00,13505413
cassetteboy and dj rubbish,http://www.youtube.com/user/cassetteboy,GLADE,SUNDAY,13:20 - 14:00,2106286
Cate Ferris,http://www.cateferris.wix.com/cate-ferris,TOAD HALL,FRIDAY,22:30 - 23:30,43572089
Catfish and The Bottlemen,http://www.catfishandthebottlemen.com/,OTHER STAGE,FRIDAY,15:00 - 16:00,49477793
Catz'n Dogz,https://www.facebook.com/catzndogz.official,WOW!,FRIDAY,23:00 - 01:00,43968495
Celeste Lovick,http://www.shelteringtree.co.uk/,MANDALA STAGE,WEDNESDAY,16:00 - 17:00,20711684
Celt Islam,https://soundcloud.com/celt-islam,THE CAVE,SATURDAY,05:00 - 06:00,13384742
Cerrone,,GENOSYS,THURSDAY,21:30 - 23:00,1045562
ChainSka Brassica,http://www.chainskabrassika.com/Bio.html,THE ROCKET LOUNGE,Sunday,04:00 - 05:00,78986428
ChainSka Brassika,http://www.chainskabrassika.com,CROISSANT NEUF,FRIDAY,01:00 - 02:00,74482521
Charli XCX,http://www.charlixcxmusic.com/,JOHN PEEL STAGE,SUNDAY,17:50 - 18:35,34134394
Charlotte Higgins,,POETRY&WORDS,SATURDAY,14:20 - 14:40,70909502
Chelsea Wilson,http://www.chelseawilson.com.au/,RABBIT HOLE,SUNDAY,20:00 - 21:00,23743072
Chelsey Chambers,https://www.facebook.com/chelseychambersmusic,ACOUSTIC STAGE,SATURDAY,12:00 - 12:40,69326004
Chet Faker,http://chetfaker.com/,JOHN PEEL STAGE,FRIDAY,16:00 - 16:40,65953975
Childhood,http://www.childhoodband.com/,WILLIAM'S GREEN,SATURDAY,13:30 - 14:10,1005447
Chris Coco,http://www.melodicarecordings.com/artist/chris-coco,THE BEAT HOTEL,SATURDAY,15:00 - 16:30,1014008
Chris Collins,https://soundcloud.com/chris-collins-78,BEZ'S ACID HOUSE,SATURDAY,05:00 - 06:00,9911926
Chris Ellis,http://www.shelteringtree.co.uk/,MANDALA STAGE,WEDNESDAY,22:00 - 23:00,11606140
Christine Willison,http://www.christinestories.co.uk,STORYTELLING AT THE EARTH LODGE,THURSDAY,13:00 - 14:00,51955337
Christy Moore,http://www.christymoore.com,ACOUSTIC STAGE,FRIDAY,21:30 - 23:00,1051783
Chronixx,http://chronixxmusic.com,PYRAMID STAGE,FRIDAY,12:00 - 12:40,35562733
Ciaran Lavery,http://www.ciaranlaverymusic.com,AVALON CAFÉ STAGE,FRIDAY,14:30 - 15:15,75414242
Circa Waves,http://circawaves.com/,JOHN PEEL STAGE,FRIDAY,18:25 - 19:20,77842425
Clancy,,THE BEAT HOTEL,THURSDAY,20:00 - 22:00,14272757
Clean Bandit,http://cleanbandit.co.uk/,OTHER STAGE,SATURDAY,17:35 - 18:35,55263116
Clive Pig,http://www.clivepig.co.uk/,STORYTELLERS TENT,THURSDAY,17:00 - 18:00,6680839
Club de Fromage,http://www.clubdefromage.com/,WILLIAM'S GREEN,FRIDAY,23:30 - 03:00,58851494
Coasts,http://coastscoastscoasts.tumblr.com/,JOHN PEEL STAGE,SATURDAY,13:00 - 13:40,12507976
Coco,http://www.cocoandthebutterfields.com/,AVALON STAGE,SATURDAY,12:50 - 13:45,1009486
CoCo and the Butterfields,http://www.cocoandthebutterfields.com,AVALON CAFÉ STAGE,THURSDAY,00:00 - 01:00,75317731
Cold Fever,http://coldfevermusic.co.uk/,BBC INTRODUCING,FRIDAY,14:30 - 14:55,12265780
Count Bobo,http://www.countbobo.com/,THE BANDSTAND,THURSDAY,00:00 - 01:00,94029099
Courteeners,http://www.thecourteeners.com/,OTHER STAGE,FRIDAY,19:30 - 20:30,22546369
Courtney Barnett,http://courtneybarnett.com.au,PYRAMID STAGE,SATURDAY,12:10 - 13:00,35299158
Craig Charles,http://bbc.co.uk/programmes/b0072ky7,HEAVEN,SUNDAY,01:00 - 03:00,10921324
Creature Feature,http://www.creaturefeature.biz/,GLEBELAND,THURSDAY,15:00 - 15:30,15150595
Crucial,http://www.crucialandfresh.com/,THE BEAT HOTEL,SATURDAY,13:30 - 15:00,9961093
