title,url,stage,day,time,mbid,lfm_url,orig_name
Fat Stash,,CLASH,THURSDAY,20:00 - 23:00,,https://www.last.fm/music/Fat+Stash,FAT STASH
Gardna,,CLASH,THURSDAY,20:00 - 23:00,,https://www.last.fm/music/Gardna,GARDNA
FLeCK,,CLASH,THURSDAY,20:00 - 23:00,3793d55e-abdd-4155-b42d-442a26417a9a,https://www.last.fm/music/FLeCK,FLECK
mungos hifi,,CLASH,THURSDAY,20:00 - 23:00,,https://www.last.fm/music/mungos+hifi,MUNGOS HIFI
JFB,,CLASH,THURSDAY,20:00 - 23:00,f5363459-392a-40b0-abdc-e469ec415a4b,https://www.last.fm/music/JFB,JFB
Kreed,,CLASH,THURSDAY,20:00 - 23:00,47308bb0-d2a5-4ea1-b89e-f4b97015def8,https://www.last.fm/music/Kreed,KREED
ASBO DISCO,,CLASH,THURSDAY,20:00 - 23:00,,https://www.last.fm/music/ASBO+DISCO,ASBO DISCO
Boot Hill All Stars,,CN BANDSTAND,WEDNESDAY,14:30 - 15:30,,https://www.last.fm/music/Boot+Hill+All+Stars,BOOT HILL ALL STARS
Booze Brothers,,SENSATION SEEKERS STAGE,FRIDAY,18:10 - 18:25,fffad035-c789-4e35-acea-c08b01b79382,https://www.last.fm/music/Booze+Brothers,BOOZE BROTHERS
Bowjangles,,CN BANDSTAND,THURSDAY,12:00 - 12:45,,https://www.last.fm/music/Bowjangles,BOWJANGLES
Box 9,http://www.box9d.com,SENSATION SEEKERS STAGE,FRIDAY,00:05 - 00:20,,https://www.last.fm/music/Box+9,BOX 9
Boy Better Know,https://www.bbktakeover.com/,OTHER STAGE,SUNDAY,22:15 - 23:15,ded07c37-7103-4d08-9b25-84b42728d545,https://www.last.fm/music/Boy+Better+Know,BOY BETTER KNOW
Boys Noize,http://www.boysnoize.com/,ARCADIA,FRIDAY,01:45 - 03:00,d2f4a968-1f6e-4a4a-9376-ee2b2a50c87a,https://www.last.fm/music/Boys+Noize,BOYS NOIZE
Brass Rave Unit,,PUSSY PARLURE,SUNDAY,20:00 - 20:45,,https://www.last.fm/music/Brass+Rave+Unit,BRASS RAVE UNIT
Brawther,,GENOSYS,THURSDAY,21:30 - 23:00,6131bbae-715e-4b50-9144-fff2932b64f8,https://www.last.fm/music/Brawther,BRAWTHER
Tristan Da Cunha,,GENOSYS,THURSDAY,21:30 - 23:00,45bd656f-9d1d-4a78-a04c-9527b69a8f1a,https://www.last.fm/music/Tristan+Da+Cunha,TRISTAN DA CUNHA
Brazen,,VILLAGE INN,SATURDAY,17:00 - 19:00,5f8ab98c-9a4a-465b-82d6-86e2aac65777,https://www.last.fm/music/Brazen,BRAZEN
Friends,,VILLAGE INN,SATURDAY,17:00 - 19:00,e09438a5-fb5c-4a6e-ab7a-a0856322e53f,https://www.last.fm/music/Friends,FRIENDS
Break,http://www.symmetryrecordings.co.uk,THE CAVE,SUNDAY,00:00 - 01:00,62ce9272-0d54-4ecf-b03b-e7992ae0d320,https://www.last.fm/music/Break,BREAK
